family,instance,n_vars,n_clauses,algorithm,solver,order,backbone_size,backbone_hash,expected_size,calls,free,rounds,load_time,solve_time,error,naive_calls,saving,matches_expected
BMS_k3_n100_m429,BMS_k3_n100_m429_0.cnf,100,286,propagate,cadical153,index,51,7ae189435c5fc3be,,49,13,48,0.001657900051213801,0.11410119966603816,,200,0.755,
BMS_k3_n100_m429,BMS_k3_n100_m429_0.cnf,100,286,complement,cadical153,index,51,7ae189435c5fc3be,,35,0,34,0.002837300067767501,0.048061399604193866,,200,0.825,
BMS_k3_n100_m429,BMS_k3_n100_m429_1.cnf,100,272,propagate,cadical153,index,53,0dd7e2795fd12be8,,45,22,44,0.0016098999185487628,0.017448000144213438,,200,0.775,
BMS_k3_n100_m429,BMS_k3_n100_m429_1.cnf,100,272,complement,cadical153,index,53,0dd7e2795fd12be8,,38,0,37,0.0015454000094905496,0.016940400120802224,,200,0.81,
BMS_k3_n100_m429,BMS_k3_n100_m429_10.cnf,100,287,propagate,cadical153,index,21,8fe429c94940f803,,38,1,37,0.0015875999815762043,0.05872230033855885,,200,0.81,
BMS_k3_n100_m429,BMS_k3_n100_m429_10.cnf,100,287,complement,cadical153,index,21,8fe429c94940f803,,43,0,42,0.0016285000601783395,0.05831239966209978,,200,0.785,
BMS_k3_n100_m429,BMS_k3_n100_m429_100.cnf,100,308,propagate,cadical153,index,17,fc3a32946dd5ca5d,,25,2,24,0.0016865000361576676,0.1108280997723341,,200,0.875,
BMS_k3_n100_m429,BMS_k3_n100_m429_100.cnf,100,308,complement,cadical153,index,17,fc3a32946dd5ca5d,,35,0,34,0.0016478999750688672,0.1129576003877446,,200,0.825,
BMS_k3_n100_m429,BMS_k3_n100_m429_101.cnf,100,306,propagate,cadical153,index,3,b166ceccfef9eeab,,16,0,15,0.0020847999257966876,0.07731100032106042,,200,0.92,
BMS_k3_n100_m429,BMS_k3_n100_m429_101.cnf,100,306,complement,cadical153,index,3,b166ceccfef9eeab,,58,0,57,0.0028390000807121396,0.0643314995104447,,200,0.71,
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_0.cnf,100,403,propagate,cadical153,index,10,85265647784fbc75,10.0,22,0,21,0.0017571999924257398,0.030931999790482223,,200,0.89,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_0.cnf,100,403,complement,cadical153,index,10,85265647784fbc75,10.0,49,0,48,0.0018168999813497066,0.03406119963619858,,200,0.755,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_1.cnf,100,403,propagate,cadical153,index,10,a9a8e31ef5e9fa3c,10.0,23,0,22,0.0017328999238088727,0.04271520033944398,,200,0.885,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_1.cnf,100,403,complement,cadical153,index,10,a9a8e31ef5e9fa3c,10.0,28,0,27,0.0017372999573126435,0.024100600159727037,,200,0.86,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_10.cnf,100,403,propagate,cadical153,index,10,88598ba4a87385de,10.0,28,1,27,0.0017254999838769436,0.03215009963605553,,200,0.86,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_10.cnf,100,403,complement,cadical153,index,10,88598ba4a87385de,10.0,70,0,69,0.0022655000211670995,0.03798530052881688,,200,0.65,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_100.cnf,100,403,propagate,cadical153,index,10,ec29b377b1d262f1,10.0,29,0,28,0.0017515000654384494,0.022224499960429966,,200,0.855,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_100.cnf,100,403,complement,cadical153,index,10,ec29b377b1d262f1,10.0,47,0,46,0.0017801000503823161,0.02969549992121756,,200,0.765,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_101.cnf,100,403,propagate,cadical153,index,10,797f620546e85317,10.0,27,0,26,0.0017176000401377678,0.03769819997251034,,200,0.865,True
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_101.cnf,100,403,complement,cadical153,index,10,797f620546e85317,10.0,33,0,32,0.0017618000274524093,0.02902650006581098,,200,0.835,True
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_0.cnf,100,403,propagate,cadical153,index,30,e3663d8766908f31,30.0,44,4,43,0.0017549999756738544,0.02400960004888475,,200,0.78,True
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_0.cnf,100,403,complement,cadical153,index,30,e3663d8766908f31,30.0,33,0,32,0.0019573000026866794,0.02124360017478466,,200,0.835,True
