family,instance,vars,algorithm,true_size,reported_size,missing,extra,identical,check_calls
BMS_k3_n100_m429,BMS_k3_n100_m429_0.cnf,100,propagate,51,51,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_0.cnf,100,complement,51,51,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_1.cnf,100,propagate,53,53,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_1.cnf,100,complement,53,53,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_10.cnf,100,propagate,21,21,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_10.cnf,100,complement,21,21,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_100.cnf,100,propagate,17,17,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_100.cnf,100,complement,17,17,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_101.cnf,100,propagate,3,3,0,0,True,201
BMS_k3_n100_m429,BMS_k3_n100_m429_101.cnf,100,complement,3,3,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_0.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_0.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_1.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_1.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_10.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_10.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_100.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_100.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_101.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m403_b10,CBS_k3_n100_m403_b10_101.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_0.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_0.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_1.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_1.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_10.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_10.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_100.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_100.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_101.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m403_b30,CBS_k3_n100_m403_b30_101.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_0.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_0.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_1.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_1.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_10.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_10.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_100.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_100.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_101.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_101.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_0.cnf,100,propagate,70,70,0,0,True,201
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_0.cnf,100,complement,70,70,0,0,True,201
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_1.cnf,100,propagate,70,70,0,0,True,201
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_1.cnf,100,complement,70,70,0,0,True,201
