n,solver,sat,encode_time,load_time,solve_time,n_vars,n_clauses,verified,timed_out,error,restarts,conflicts,decisions,propagations,solver_time,total_time
8,cadical153,True,0.0009445999749004841,0.0010593000333756208,0.0001651998609304428,64,512,True,False,,0.0,15.0,25.0,341.0,0.0012244998943060637,0.0021690998692065477
8,glucose4,True,0.0007865000516176224,0.00806279992684722,0.0017037000507116318,64,512,True,False,,1.0,289.0,403.0,3541.0,0.009766499977558851,0.010553000029176474
8,minisat22,True,0.0031304999720305204,0.00037880009040236473,0.0005300999619066715,64,512,True,False,,2.0,117.0,205.0,1938.0,0.0009089000523090363,0.004039400024339557
16,cadical153,True,0.0016366001218557358,0.0038256000261753798,0.060002199839800596,256,4416,True,False,,78.0,3857.0,5126.0,129513.0,0.06382779986597598,0.06546439998783171
16,glucose4,True,0.002552999882027507,0.00271419994533062,0.004964899970218539,256,4416,True,False,,2.0,490.0,1067.0,9654.0,0.007679099915549159,0.010232099797576666
16,minisat22,True,0.0021967999637126923,0.002220100024715066,0.0017280001193284988,256,4416,True,False,,3.0,206.0,640.0,6541.0,0.003948100144043565,0.006144900107756257
32,cadical153,True,0.00874139997176826,0.017526700161397457,0.37637769989669323,1024,36736,True,False,,303.0,10020.0,13879.0,793327.0,0.3939044000580907,0.40264580002985895
32,glucose4,True,0.007391700055450201,0.015130899846553802,9.917640399886295,1024,36736,True,False,,3.0,100025.0,121448.0,2448651.0,9.932771299732849,9.9401629997883
32,minisat22,True,0.00928090000525117,0.016347199911251664,0.004385899985209107,1024,36736,True,False,,3.0,221.0,2014.0,13758.0,0.02073309989646077,0.03001399990171194
64,cadical153,True,0.10840639984235168,0.13794020004570484,0.9106614999473095,4096,299776,True,False,,257.0,10020.0,16804.0,2088977.0,1.0486016999930143,1.157008099835366
64,glucose4,True,0.08895909995771945,0.13675160007551312,0.012540899915620685,4096,299776,True,False,,3.0,340.0,8682.0,35816.0,0.1492924999911338,0.23825159994885325
64,minisat22,True,0.1184215999674052,0.12815319979563355,0.015654100105166435,4096,299776,True,False,,4.0,414.0,10180.0,48240.0,0.1438072999008,0.2622288998682052
100,cadical153,True,0.5247896001674235,0.5417301000561565,2.218426200095564,10000,1151800,True,False,,297.0,11377.0,28233.0,3590037.0,2.7601563001517206,3.284945900319144
100,glucose4,,0.5208768001757562,,,10000,1151800,,True,,,,,,,
100,minisat22,True,0.5475775999948382,0.465763800079003,0.027149199973791838,10000,1151800,True,False,,4.0,414.0,26010.0,96182.0,0.4929130000527948,1.040490600047633
150,cadical153,True,1.9511606998275965,2.8109065000899136,15.306834399932995,22500,3903950,True,False,,370.0,15069.0,65018.0,8511212.0,18.11774090002291,20.068901599850506
150,minisat22,True,1.965358099900186,2.1673360001295805,0.1843679000157863,22500,3903950,True,False,,5.0,512.0,76352.0,252736.0,2.351703900145367,4.317062000045553
200,cadical153,True,4.602490199962631,4.122785300016403,13.956245600013062,40000,9273600,True,False,,381.0,15345.0,124769.0,11581979.0,18.079030900029466,22.681521099992096
200,minisat22,True,4.334285299992189,3.551478800131008,0.11886269995011389,40000,9273600,True,False,,5.0,531.0,132618.0,363383.0,3.670341500081122,8.00462680007331
250,cadical153,True,8.57832199987024,8.383782600052655,34.65801939996891,62500,18135750,True,False,,814.0,16889.0,211418.0,23284404.0,43.04180200002156,51.6201239998918
250,minisat22,True,8.523711600108072,7.0250083999708295,0.5083043999038637,62500,18135750,True,False,,10.0,1442.0,327742.0,870972.0,7.533312799874693,16.057024399982765
300,cadical153,,13.751686699921265,,,90000,31365400,,True,,,,,,,
300,minisat22,True,15.109213899821043,22.936407099943608,0.9275108999572694,90000,31365400,True,False,,7.0,809.0,383627.0,1152103.0,23.863917999900877,38.97313189972192
350,minisat22,,46.74619619990699,,,122500,49837550,,True,,,,,,,
