n,solver,solve_time,restarts,conflicts,decisions,propagations
8,cadical153,0.0001651998609304428,0.0,15.0,25.0,341.0
8,glucose4,0.0017037000507116318,1.0,289.0,403.0,3541.0
8,minisat22,0.0005300999619066715,2.0,117.0,205.0,1938.0
16,cadical153,0.060002199839800596,78.0,3857.0,5126.0,129513.0
16,glucose4,0.004964899970218539,2.0,490.0,1067.0,9654.0
16,minisat22,0.0017280001193284988,3.0,206.0,640.0,6541.0
32,cadical153,0.37637769989669323,303.0,10020.0,13879.0,793327.0
32,glucose4,9.917640399886295,3.0,100025.0,121448.0,2448651.0
32,minisat22,0.004385899985209107,3.0,221.0,2014.0,13758.0
64,cadical153,0.9106614999473095,257.0,10020.0,16804.0,2088977.0
64,glucose4,0.012540899915620685,3.0,340.0,8682.0,35816.0
64,minisat22,0.015654100105166435,4.0,414.0,10180.0,48240.0
100,cadical153,2.218426200095564,297.0,11377.0,28233.0,3590037.0
100,minisat22,0.027149199973791838,4.0,414.0,26010.0,96182.0
150,cadical153,15.306834399932995,370.0,15069.0,65018.0,8511212.0
150,minisat22,0.1843679000157863,5.0,512.0,76352.0,252736.0
200,cadical153,13.956245600013062,381.0,15345.0,124769.0,11581979.0
200,minisat22,0.11886269995011389,5.0,531.0,132618.0,363383.0
250,cadical153,34.65801939996891,814.0,16889.0,211418.0,23284404.0
250,minisat22,0.5083043999038637,10.0,1442.0,327742.0,870972.0
300,minisat22,0.9275108999572694,7.0,809.0,383627.0,1152103.0
