instance,verdict,dpll_decisions,crh_decisions,wbh_decisions,bsh_decisions
uf50-01,SAT,1016,9,9,4
uf50-010,SAT,370,5,5,9
uf50-0100,SAT,318,1,1,1
uf50-01000,SAT,46,7,7,9
uf50-0101,SAT,44,3,2,2
uf50-0102,SAT,58,5,5,7
uf50-0103,SAT,353,3,3,3
uf50-0104,SAT,198,6,6,8
uf50-0105,SAT,396,4,1,1
uf50-0106,SAT,2321,5,5,7
uf50-0107,SAT,1802,7,7,3
uf50-0108,SAT,39,11,11,9
uf50-0109,SAT,600,5,5,5
uf50-011,SAT,205,1,1,1
uf50-0110,SAT,1000,5,5,5
uf50-0111,SAT,23,10,10,10
uf50-0112,SAT,842,7,7,1
uf50-0113,SAT,232,4,3,2
uf50-0114,SAT,779,7,7,1
uf50-0115,SAT,15,5,3,3
uf50-0116,SAT,443,5,5,5
uf50-0117,SAT,82,2,2,5
uf50-0118,SAT,672,4,4,3
uf50-0119,SAT,506,6,8,6
uf50-012,SAT,72,3,3,3
uf50-0120,SAT,542,6,6,2
uf50-0121,SAT,344,3,2,3
uf50-0122,SAT,782,9,5,12
uf50-0123,SAT,684,3,3,3
uf50-0124,SAT,135,3,5,5
uf50-0125,SAT,2004,8,2,3
uf50-0126,SAT,887,5,5,5
uf50-0127,SAT,1238,3,8,8
uf50-0128,SAT,51,1,1,2
uf50-0129,SAT,49,1,1,4
uf50-013,SAT,445,3,3,3
uf50-0130,SAT,23,3,3,3
uf50-0131,SAT,413,1,1,7
uf50-0132,SAT,29,1,1,6
uf50-0133,SAT,1292,2,2,2
uf50-0134,SAT,818,4,4,4
uf50-0135,SAT,231,1,7,1
uf50-0136,SAT,22,3,3,2
uf50-0137,SAT,287,3,3,6
uf50-0138,SAT,826,6,6,4
uf50-0139,SAT,1625,4,4,4
uf50-014,SAT,397,4,6,3
uf50-0140,SAT,189,11,4,3
uf50-0141,SAT,554,7,7,5
uf50-0142,SAT,363,7,8,8
uf50-0143,SAT,505,5,6,4
uf50-0144,SAT,392,5,6,6
uf50-0145,SAT,105,1,1,1
uf50-0146,SAT,72,3,3,3
uf50-0147,SAT,492,3,3,3
uf50-0148,SAT,150,6,3,4
uf50-0149,SAT,298,6,7,4
uf50-015,SAT,21,2,2,3
uf50-0150,SAT,610,3,2,3
uf50-0151,SAT,1500,6,6,7
uf50-0152,SAT,912,3,5,5
uf50-0153,SAT,784,5,8,8
uf50-0154,SAT,631,1,1,6
uf50-0155,SAT,648,4,4,4
uf50-0156,SAT,437,2,2,2
uf50-0157,SAT,311,1,1,1
uf50-0158,SAT,303,5,5,3
uf50-0159,SAT,1793,8,8,8
uf50-016,SAT,249,1,1,4
uf50-0160,SAT,203,7,7,3
uf50-0161,SAT,82,7,5,4
uf50-0162,SAT,532,3,3,3
uf50-0163,SAT,1432,12,7,9
uf50-0164,SAT,1584,3,1,1
uf50-0165,SAT,182,7,8,5
uf50-0166,SAT,505,6,5,6
uf50-0167,SAT,410,7,6,6
uf50-0168,SAT,68,3,3,3
uf50-0169,SAT,28,2,2,4
uf50-017,SAT,261,1,1,1
uf50-0170,SAT,138,2,2,2
uf50-0171,SAT,285,6,6,3
uf50-0172,SAT,896,10,10,10
uf50-0173,SAT,1159,5,5,5
uf50-0174,SAT,729,2,4,5
uf50-0175,SAT,641,5,5,1
uf50-0176,SAT,31,6,6,3
uf50-0177,SAT,362,6,6,2
uf50-0178,SAT,573,4,3,5
uf50-0179,SAT,197,5,5,8
uf50-018,SAT,300,8,8,7
uf50-0180,SAT,1364,5,2,4
uf50-0181,SAT,32,3,3,3
uf50-0182,SAT,1054,5,6,5
uf50-0183,SAT,204,1,3,2
uf50-0184,SAT,118,7,6,6
uf50-0185,SAT,199,1,1,9
uf50-0186,SAT,732,2,5,5
uf50-0187,SAT,79,9,7,7
uf50-0188,SAT,58,4,4,3
uf50-0189,SAT,282,3,3,7
uf50-019,SAT,157,3,8,8
uf50-0190,SAT,268,5,5,5
uf50-0191,SAT,38,4,1,1
uf50-0192,SAT,149,4,3,17
uf50-0193,SAT,15,5,3,3
uf50-0194,SAT,434,3,1,4
uf50-0195,SAT,69,3,3,3
uf50-0196,SAT,196,5,2,1
uf50-0197,SAT,93,2,3,1
uf50-0198,SAT,89,2,4,7
uf50-0199,SAT,20,10,10,6
uf50-02,SAT,817,6,6,6
uf50-020,SAT,193,3,3,1
uf50-0200,SAT,493,2,2,2
uf50-0201,SAT,577,1,1,5
uf50-0202,SAT,1547,2,2,3
uf50-0203,SAT,1074,1,1,9
uf50-0204,SAT,1633,6,8,8
uf50-0205,SAT,17,3,7,12
uf50-0206,SAT,79,2,2,3
uf50-0207,SAT,68,3,3,3
uf50-0208,SAT,205,1,2,2
uf50-0209,SAT,347,5,4,4
uf50-021,SAT,30,3,5,5
uf50-0210,SAT,92,2,2,2
uf50-0211,SAT,126,10,1,12
uf50-0212,SAT,397,1,1,5
uf50-0213,SAT,178,6,6,3
uf50-0214,SAT,673,8,8,6
uf50-0215,SAT,23,8,6,3
uf50-0216,SAT,107,4,4,4
uf50-0217,SAT,159,1,1,2
uf50-0218,SAT,23,6,6,6
uf50-0219,SAT,185,5,7,5
uf50-022,SAT,114,5,6,7
uf50-0220,SAT,454,1,3,5
uf50-0221,SAT,600,5,9,6
uf50-0222,SAT,319,3,3,3
uf50-0223,SAT,472,3,3,4
uf50-0224,SAT,13,5,4,2
uf50-0225,SAT,443,6,6,1
uf50-0226,SAT,502,3,3,3
uf50-0227,SAT,106,8,3,6
uf50-0228,SAT,295,7,7,8
uf50-0229,SAT,211,1,4,4
uf50-023,SAT,103,7,2,2
uf50-0230,SAT,285,4,4,5
uf50-0231,SAT,440,9,9,11
uf50-0232,SAT,211,4,3,3
uf50-0233,SAT,84,3,3,3
uf50-0234,SAT,14,6,6,6
uf50-0235,SAT,827,2,2,2
uf50-0236,SAT,30,2,3,3
uf50-0237,SAT,599,5,6,6
uf50-0238,SAT,104,2,2,2
uf50-0239,SAT,271,2,2,2
uf50-024,SAT,20,6,6,5
uf50-0240,SAT,531,6,6,7
uf50-0241,SAT,907,1,6,8
uf50-0242,SAT,72,3,2,2
uf50-0243,SAT,349,3,3,1
uf50-0244,SAT,1333,1,1,2
uf50-0245,SAT,49,2,5,6
uf50-0246,SAT,1598,3,2,2
uf50-0247,SAT,189,2,5,5
uf50-0248,SAT,234,4,4,3
uf50-0249,SAT,413,3,3,3
uf50-025,SAT,563,2,2,6
uf50-0250,SAT,76,3,3,3
uf50-0251,SAT,758,2,5,2
uf50-0252,SAT,48,3,3,3
uf50-0253,SAT,61,7,5,5
uf50-0254,SAT,579,3,3,3
uf50-0255,SAT,2032,5,1,3
uf50-0256,SAT,45,2,2,2
uf50-0257,SAT,131,3,3,3
uf50-0258,SAT,300,8,8,8
uf50-0259,SAT,787,2,11,11
uf50-026,SAT,593,2,2,2
uf50-0260,SAT,207,3,3,3
uf50-0261,SAT,710,1,2,2
uf50-0262,SAT,1595,3,4,6
uf50-0263,SAT,183,1,1,1
uf50-0264,SAT,172,7,7,7
uf50-0265,SAT,39,3,3,3
uf50-0266,SAT,454,3,3,3
uf50-0267,SAT,268,3,3,3
uf50-0268,SAT,25,8,2,3
uf50-0269,SAT,341,3,3,3
uf50-027,SAT,36,6,10,10
uf50-0270,SAT,280,2,6,12
uf50-0271,SAT,628,4,4,4
uf50-0272,SAT,1314,5,5,5
uf50-0273,SAT,683,8,2,2
uf50-0274,SAT,35,3,3,4
uf50-0275,SAT,683,3,3,6
uf50-0276,SAT,29,3,3,3
uf50-0277,SAT,15,6,6,6
uf50-0278,SAT,18,5,4,4
uf50-0279,SAT,1333,4,5,5
uf50-028,SAT,805,2,2,4
uf50-0280,SAT,90,4,1,10
uf50-0281,SAT,183,2,7,7
uf50-0282,SAT,562,2,2,4
uf50-0283,SAT,499,1,1,1
uf50-0284,SAT,178,5,5,2
uf50-0285,SAT,97,2,2,2
uf50-0286,SAT,265,5,5,8
uf50-0287,SAT,1105,3,1,4
uf50-0288,SAT,17,4,2,7
uf50-0289,SAT,132,6,6,6
uf50-029,SAT,33,4,7,9
uf50-0290,SAT,84,5,3,3
