clauses,clauses_checked,conflicts,cpu_seconds,decisions,instance,unit_props,variables,vars,verdict,wall_seconds
133,63161,3246,0.001,6490,hole6,29322,42,42,UNSAT,0.0008681
204,722098,32781,0.009,65560,hole7,318495,56,56,UNSAT,0.0095076
297,9305155,378344,0.124,756686,hole8,3933538,72,72,UNSAT,0.123932
415,133426496,4912515,1.635,9825028,hole9,54417935,90,90,UNSAT,1.63492
441,2797,27,0.0,57,ais6,515,61,61,SAT,0.0001006
1149,51553,273,0.001,550,ais8,7423,113,113,SAT,0.0014882
2377,1112800,4484,0.017,8973,ais10,138777,181,181,SAT,0.0170438
4269,30580645,96387,0.355,192780,ais12,3389633,265,265,SAT,0.354072
218,34926,502,0.001,1016,uf50-01,7573,50,50,SAT,0.0008998
218,11869,178,0.001,370,uf50-010,2526,50,50,SAT,0.0005243
218,10781,157,0.0,318,uf50-0100,2355,50,50,SAT,0.000583
218,1198,15,0.0,44,uf50-0101,224,50,50,SAT,0.0001233
